Name,Assignee,Due Date,Task Type,Status,Master Projects,Files & media
"Update empty state text to ""Coming Soon"" (replace ""no courses available"").",Abdulaziz Abdulwahab,"March 14, 2026",Feature,Done,Ace Acad MVP (https://app.notion.com/p/Ace-Acad-MVP-320c1805b10180098d2ce178b19ace7f?pvs=21),
Scope and document the how user uploads will be handled,Abdulaziz Abdulwahab,"March 15, 2026",Feature,Done,Ace Acad MVP (https://app.notion.com/p/Ace-Acad-MVP-320c1805b10180098d2ce178b19ace7f?pvs=21),
Setup User Tacking,Abdulaziz Abdulwahab,"March 15, 2026",Feature,In progress,Ace Acad MVP (https://app.notion.com/p/Ace-Acad-MVP-320c1805b10180098d2ce178b19ace7f?pvs=21),
"Investigate and fix broken ""Weekly Rhythm"" logic.",Abdulaziz Abdulwahab,"March 17, 2026",Bug,Done,Ace Acad MVP (https://app.notion.com/p/Ace-Acad-MVP-320c1805b10180098d2ce178b19ace7f?pvs=21),
"Review, and sign Founder's Agreement","Ibrahim, Abdulaziz Abdulwahab","March 20, 2026",Admin,In progress,Operations (https://app.notion.com/p/Operations-320c1805b101806c8b53dce54755245e?pvs=21),
Build frontend UI for user document upload.,Abdulaziz Abdulwahab,"March 21, 2026",Feature,Not started,Ace Acad MVP (https://app.notion.com/p/Ace-Acad-MVP-320c1805b10180098d2ce178b19ace7f?pvs=21),
Scope and document the logic for the new AI Study & Study Paths revamp.,Abdulaziz Abdulwahab,"March 22, 2026",Admin,Done,Ace Acad MVP (https://app.notion.com/p/Ace-Acad-MVP-320c1805b10180098d2ce178b19ace7f?pvs=21),
Setup temporary backend storage integration (Google Drive API) for uploaded docs.,Abdulaziz Abdulwahab,"March 27, 2026",Feature,Not started,Ace Acad MVP (https://app.notion.com/p/Ace-Acad-MVP-320c1805b10180098d2ce178b19ace7f?pvs=21),
Wireframe/Design the UI for the revamped Study Paths & AI feature.,Abdulaziz Abdulwahab,"March 27, 2026",Design,Not started,Ace Acad MVP (https://app.notion.com/p/Ace-Acad-MVP-320c1805b10180098d2ce178b19ace7f?pvs=21),
Build automated pipeline for document compression and OCR vetting.,Abdulaziz Abdulwahab,"April 3, 2026",Feature,Not started,Ace Acad MVP (https://app.notion.com/p/Ace-Acad-MVP-320c1805b10180098d2ce178b19ace7f?pvs=21),
Backend implementation of AI Study logic.,Abdulaziz Abdulwahab,"April 5, 2026",Feature,Not started,Ace Acad MVP (https://app.notion.com/p/Ace-Acad-MVP-320c1805b10180098d2ce178b19ace7f?pvs=21),
Fix the Flashcards Feature (Add more questions),Abdulaziz Abdulwahab,"August 13, 2026",Bug,Not started,Ace Acad MVP (https://app.notion.com/p/Ace-Acad-MVP-320c1805b10180098d2ce178b19ace7f?pvs=21),
Add the mock tests feature,Abdulaziz Abdulwahab,"August 13, 2026",Bug,Not started,Ace Acad MVP (https://app.notion.com/p/Ace-Acad-MVP-320c1805b10180098d2ce178b19ace7f?pvs=21),
Use PQs and Add them to the app,Abdulaziz Abdulwahab,"August 14, 2026",Bug,Not started,Ace Acad MVP (https://app.notion.com/p/Ace-Acad-MVP-320c1805b10180098d2ce178b19ace7f?pvs=21),
Update the website to include the WSTAR AI Solutions,Abdulaziz Abdulwahab,"August 18, 2026",Feature,Not started,,
